provider,category,name,serving_size,calories,fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,fiber_g,sugar_g,protein_g,entities
Chick-Fil-A,Drinks,"Gallon Chick-fil-A® Iced Tea (1/2 Sweet Tea,1/2 Unsweet Tea)",3904,790.0,0.0,0.0,0.0,0,0,205,0,205,0,"['high-calorie','high-fat','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','high-fiber','high-protein','Chick-Fil-A','Drinks','large-portion','Gluten-Free']"
Chick-Fil-A,Drinks,"Gallon Sunjoy® (1/2 Sweet Tea,1/2 Lemonade)",4176,1970.0,0.0,0.0,0.0,0,0,506,2,481,2,"['high-calorie','high-fat','sat-fat-free','cholesterol-free','sodium-free','carb-free','low-sugar','high-fiber','high-protein','Chick-Fil-A','Drinks','large-portion','Gluten-Free']"
Chick-Fil-A,Drinks,"Gallon Sunjoy® (1/2 Sweet Tea,1/2 Lemonade)",4176,1970.0,0.0,0.0,0.0,0,0,506,2,481,2,"['high-calorie','high-fat','sat-fat-free','cholesterol-free','sodium-free','carb-free','low-sugar','high-fiber','high-protein','Chick-Fil-A','Drinks','large-portion','Gluten-Free']"
Chick-Fil-A,Drinks,"Gallon Sunjoy® (1/2 Sweet Tea,1/2 Diet Lemonade)",3997,1030.0,1.0,0.0,0.0,0,50,270,1,252,1,"['high-calorie','high-fat','low-sat-fat','cholesterol-free','sodium-free','high-carb','low-sugar','high-fiber','high-protein','Chick-Fil-A','Drinks','large-portion','Gluten-Free']"
Chick-Fil-A,Drinks,"Gallon Sunjoy® (1/2 Sweet Tea,1/2 Diet Lemonade)",3997,1030.0,1.0,0.0,0.0,0,50,270,1,252,1,"['high-calorie','high-fat','low-sat-fat','cholesterol-free','sodium-free','high-carb','low-sugar','high-fiber','high-protein','Chick-Fil-A','Drinks','large-portion','Gluten-Free']"
Chick-Fil-A,Drinks,"Gallon Sunjoy® (1/2 Unsweet Tea,1/2 Lemonade)",3898,1040.0,0.0,0.0,0.0,0,0,291,0,271,0,"['high-calorie','high-fat','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','high-fiber','high-protein','Chick-Fil-A','Drinks','large-portion','Gluten-Free']"
Chick-Fil-A,Drinks,"Gallon Sunjoy® (1/2 Unsweet Tea,1/2 Lemonade)",3898,1040.0,0.0,0.0,0.0,0,0,291,0,271,0,"['high-calorie','high-fat','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','high-fiber','high-protein','Chick-Fil-A','Drinks','large-portion','Gluten-Free']"
Chick-Fil-A,Drinks,"Gallon Sunjoy® (1/2 Unsweet Tea,1/2 Diet Lemonade)",3719,240.0,1.0,0.0,0.0,0,50,65,1,47,1,"['high-calorie','high-fat','low-sat-fat','cholesterol-free','sodium-free','high-carb','low-sugar','high-fiber','high-protein','Chick-Fil-A','Drinks','large-portion','Gluten-Free']"
Chick-Fil-A,Drinks,"Gallon Sunjoy® (1/2 Unsweet Tea,1/2 Diet Lemonade)",3719,240.0,1.0,0.0,0.0,0,50,65,1,47,1,"['high-calorie','high-fat','low-sat-fat','cholesterol-free','sodium-free','high-carb','low-sugar','high-fiber','high-protein','Chick-Fil-A','Drinks','large-portion','Gluten-Free']"
Chick-Fil-A,Drinks,Bag of Ice,28,0.0,0.0,0.0,0.0,0,0,0,0,0,0,"['no-calories','fat-free','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','fiber-free','protein-free','Chick-Fil-A','Drinks','small-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,Bag of Ice,28,0.0,0.0,0.0,0.0,0,0,0,0,0,0,"['no-calories','fat-free','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','fiber-free','protein-free','Chick-Fil-A','Drinks','small-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,Bag of Ice,28,0.0,0.0,0.0,0.0,0,0,0,0,0,0,"['no-calories','fat-free','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','fiber-free','protein-free','Chick-Fil-A','Drinks','small-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,Medium Cup of Ice,298,0.0,0.0,0.0,0.0,0,0,0,0,0,0,"['no-calories','fat-free','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','fiber-free','protein-free','Chick-Fil-A','Drinks','medium-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,Bag of Ice,28,0.0,0.0,0.0,0.0,0,0,0,0,0,0,"['no-calories','fat-free','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','fiber-free','protein-free','Chick-Fil-A','Drinks','small-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,Bag of Ice,28,0.0,0.0,0.0,0.0,0,0,0,0,0,0,"['no-calories','fat-free','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','fiber-free','protein-free','Chick-Fil-A','Drinks','small-portion','paleo','Gluten-Free']"
Chick-Fil-A,Drinks,Bag of Ice,28,0.0,0.0,0.0,0.0,0,0,0,0,0,0,"['no-calories','fat-free','sat-fat-free','cholesterol-free','sodium-free','carb-free','sugar-free','fiber-free','protein-free','Chick-Fil-A','Drinks','small-portion','paleo','Gluten-Free']"
Chick-Fil-A,Dipping Sauces,Barbeque Sauce,28,45.0,0.0,0.0,0.0,0,200,11,0,9,0,"['low-calorie','fat-free','sat-fat-free','cholesterol-free','mid-sodium','low-carb','mid-sugar','fiber-free','protein-free','Chick-Fil-A','Dipping Sauces','small-portion','paleo','Gluten-Free','vegan']"
Chick-Fil-A,Dipping Sauces,Chick-fil-A® Sauce,28,140.0,13.0,2.0,0.0,10,170,6,0,6,0,"['low-calorie','high-fat','mid-sat-fat','low-cholesterol','mid-sodium','low-carb','mid-sugar','fiber-free','protein-free','Chick-Fil-A','Dipping Sauces','small-portion','paleo','Gluten-Free','vegan']"
Chick-Fil-A,Dipping Sauces,Garden Herb Ranch Sauce,28,140.0,15.0,2.5,0.0,10,220,1,0,1,1,"['low-calorie','high-fat','mid-sat-fat','low-cholesterol','mid-sodium','low-carb','low-sugar','fiber-free','low-protein','Chick-Fil-A','Dipping Sauces','small-portion','paleo','Gluten-Free','vegan']"
Chick-Fil-A,Dipping Sauces,Honey Mustard Sauce,28,50.0,0.0,0.0,0.0,0,160,11,0,10,0,"['low-calorie','fat-free','sat-fat-free','cholesterol-free','mid-sodium','low-carb','mid-sugar','fiber-free','protein-free','Chick-Fil-A','Dipping Sauces','small-portion','paleo','Gluten-Free','vegan']"
Chick-Fil-A,Dipping Sauces,Polynesian Sauce,28,110.0,6.0,1.0,0.0,0,210,14,0,13,0,"['low-calorie','mid-fat','low-sat-fat','cholesterol-free','mid-sodium','low-carb','mid-sugar','fiber-free','protein-free','Chick-Fil-A','Dipping Sauces','small-portion','paleo','Gluten-Free','vegan']"
Chick-Fil-A,Dipping Sauces,Sweet & Spicy Sriracha Sauce,28,45.0,0.0,0.0,0.0,0,380,11,0,10,0,"['low-calorie','fat-free','sat-fat-free','cholesterol-free','mid-sodium','low-carb','mid-sugar','fiber-free','protein-free','Chick-Fil-A','Dipping Sauces','small-portion','paleo','Gluten-Free','vegan']"
Chick-Fil-A,Dipping Sauces,Zesty Buffalo Sauce,21,25.0,2.5,0.0,0.0,5,570,1,0,0,0,"['low-calorie','low-fat','sat-fat-free','low-cholesterol','high-sodium','low-carb','sugar-free','fiber-free','protein-free','Chick-Fil-A','Dipping Sauces','small-portion','Gluten-Free','vegan']"
Chick-Fil-A,Dipping Sauces,Honey Roasted BBQ Sauce,12,60.0,5.0,1.0,0.0,5,75,3,0,2,0,"['low-calorie','mid-fat','low-sat-fat','low-cholesterol','low-sodium','low-carb','low-sugar','fiber-free','protein-free','Chick-Fil-A','Dipping Sauces','small-portion','paleo','Gluten-Free','vegan']"
